Direccion,Numero,Activo,Bicis_disponibles,Espacios_libres,Espacios_totales,ticket,fecha_actualizacion,geo_shape,geo_point_2d,distritos
"Colón, 60",16,T,3,17,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3704333693720587, 39.470092316192336], ""type"": ""Point""}","39.470092316192336, -0.3704333693720587",l'Eixample
Fernando el Católico - Erudito Orellana,23,T,1,18,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3861784216967592, 39.471628328748515], ""type"": ""Point""}","39.471628328748515, -0.3861784216967592",Extramurs
Fernando el Católico - Cuenca,24,T,8,10,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3840274173384119, 39.469077319212495], ""type"": ""Point""}","39.469077319212495, -0.3840274173384119",Extramurs
"Alberique, 18 (Abastos)",25,T,5,18,23,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38861043334080225, 39.46772931656263], ""type"": ""Point""}","39.46772931656263, -0.38861043334080225",Extramurs
San José de Calasanz - Salas Quiroga,26,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3860524260304749, 39.46619531059966], ""type"": ""Point""}","39.46619531059966, -0.3860524260304749",Extramurs
"Barcas, 11",40,T,1,25,26,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}","39.470466319701956, -0.3748243837183276",Ciutat Vella
Blasco Ibañez - Aragón,92,T,0,20,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}","39.47586032883543, -0.35596831583559707",El Pla del Real
Vicent Vidal - Pintor Maella,61,T,16,4,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}","39.46129327599964, -0.34783029886743094",Camins al Grau
Blasco Ibañez - Pintor José Mongrell,99,T,10,11,21,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}","39.47134430635022, -0.3404842660990001",Algiros
"Colón, 44",70,T,1,16,17,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}","39.469213221319464, -0.3716462894107889",l'Eixample
Juan Verdeguer - Toneleros,67,T,14,0,14,F,16/06/2023 16:09:04,"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}","39.45886026320377, -0.33679826304022287",Poblats Maritims
Jerónimo Monsoriu - Industria,73,T,10,10,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}","39.4662592905475, -0.3428792786496773",Camins al Grau
Blasco Ibañez - Jaime Roig,85,T,0,23,23,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}","39.479464345022826, -0.3647153422684407",El Pla del Real
Grabador Jordan - Escultor Pastor,91,T,15,0,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36757337969703135, 39.44412522887422], ""type"": ""Point""}","39.44412522887422, -0.36757337969703135",Quatre Carreres
Blasco Ibañez - Poeta Durán Tortajada,93,T,14,24,38,T,16/06/2023 16:09:04,"{""coordinates"": [-0.34380927742382206, 39.472282310670764], ""type"": ""Point""}","39.472282310670764, -0.34380927742382206",Algiros
Campoamor - Músico Ginés,76,T,7,12,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.343461277578989, 39.47008330347364], ""type"": ""Point""}","39.47008330347364, -0.343461277578989",Algiros
Amadeo de Saboya (frente Ayuntamiento),80,T,3,22,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}","39.47374232444908, -0.36229833944736023",El Pla del Real
Guillem de Castro (Torres de Quart),82,T,4,11,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3839144104057024, 39.47605634238628], ""type"": ""Point""}","39.47605634238628, -0.3839144104057024",Ciutat Vella
Blasco Ibañez - Clariano,94,T,17,3,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.35158330144926053, 39.47537832465668], ""type"": ""Point""}","39.47537832465668, -0.35158330144926053",Algiros
Blasco Ibañez - Yecla,96,T,5,16,21,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3482142912637639, 39.47355431688417], ""type"": ""Point""}","39.47355431688417, -0.3482142912637639",Algiros
Blasco Ibañez - Mestre Ripoll,100,T,6,14,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}","39.471634305646866, -0.33815025853445674",Algiros
Plaza de la Virgen - Bailía,4,T,4,21,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.37534238089458904, 39.476747340831494], ""type"": ""Point""}","39.476747340831494, -0.37534238089458904",Ciutat Vella
Guillem de Castro - San Pedro Pascual,6,T,1,14,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38408341393871137, 39.472798331478145], ""type"": ""Point""}","39.472798331478145, -0.38408341393871137",Extramurs
Huesca - Barón de Cárcer,14,T,1,19,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}","39.46896731649349, -0.37972440222295445",Ciutat Vella
Cirilo Amorós - Jorge Juan (Mercado Colón),30,T,1,19,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36849936365579583, 39.468601309884924], ""type"": ""Point""}","39.468601309884924, -0.36849936365579583",l'Eixample
Conde Altea - Almirante Cadarso,32,T,12,8,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3682473649948816, 39.46600630156446], ""type"": ""Point""}","39.46600630156446, -0.3682473649948816",l'Eixample
Av. de la Plata (Museo Fallero),42,T,18,2,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3586583378805894, 39.45878127329601], ""type"": ""Point""}","39.45878127329601, -0.3586583378805894",Quatre Carreres
General Urrutia - Av. de la Plata,44,T,6,13,19,T,16/06/2023 16:09:04,"{""coordinates"": [-0.36301435452576164, 39.45642926768604], ""type"": ""Point""}","39.45642926768604, -0.36301435452576164",Quatre Carreres
Pintor Luis Arcas - Inst. Obrero Valenciano,46,T,8,12,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.35878734087160885, 39.455509261762266], ""type"": ""Point""}","39.455509261762266, -0.35878734087160885",Quatre Carreres
Plaza Poeta Llorente,5,T,2,13,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3711403661399108, 39.476895339123786], ""type"": ""Point""}","39.476895339123786, -0.3711403661399108",Ciutat Vella
Juan Llorens - Quart,19,T,13,2,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.391590438798602, 39.47436934054566], ""type"": ""Point""}","39.47436934054566, -0.391590438798602",Extramurs
General Urrutia - Granada,41,T,7,13,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36477635908979195, 39.458912276426375], ""type"": ""Point""}","39.458912276426375, -0.36477635908979195",Quatre Carreres
Escultor José Capuz - Oriente,43,T,6,14,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}","39.459477276259406, -0.36115334583643566",Quatre Carreres
Alameda - Pintor Monleón,57,T,5,15,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3582563324315247, 39.46447629179199], ""type"": ""Point""}","39.46447629179199, -0.3582563324315247",El Pla del Real
Francia - Menorca,56,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}","39.45842126509135, -0.3444052893928658",Camins al Grau
Hospital Nueva Fe (administración),189,T,20,10,30,T,16/06/2023 16:09:04,"{""coordinates"": [-0.37706532415787625, 39.44477922701873], ""type"": ""Point""}","39.44477922701873, -0.37706532415787625",Quatre Carreres
Maximiliano Thous - Luz Casanova,134,T,20,0,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.37333936513208965, 39.48765637635625], ""type"": ""Point""}","39.48765637635625, -0.37333936513208965",La Saidia
Alcudia de Crespins - Pedro Patricio Mey,177,T,3,11,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3734883620528129, 39.493545396079504], ""type"": ""Point""}","39.493545396079504, -0.3734883620528129",Rascanya
Pescadores - Progreso,154,T,6,9,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3295542305651281, 39.469876296228996], ""type"": ""Point""}","39.469876296228996, -0.3295542305651281",Poblats Maritims
Pavía - Acequia de la Cadena,167,T,15,5,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3246102088459378, 39.474908310742784], ""type"": ""Point""}","39.474908310742784, -0.3246102088459378",Poblats Maritims
Uruguay - Carteros,193,T,13,7,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.386718436578698, 39.45514627443484], ""type"": ""Point""}","39.45514627443484, -0.386718436578698",Jesus
Campillo de Altobuey (Polideportivo),107,T,6,8,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3362242490922528, 39.47524531713643], ""type"": ""Point""}","39.47524531713643, -0.3362242490922528",Algiros
"CALLE SANTA AMALIA  2, esquina POETA BODRIA",131,T,1,19,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3729122732215235, 39.48141722170027], ""type"": ""Point""}","39.48141722170027, -0.3729122732215235",La Saidia
Economista Gay - Constitución,136,T,18,2,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.37561037166808026, 39.48994138447594], ""type"": ""Point""}","39.48994138447594, -0.37561037166808026",La Saidia
Campanar - Nicasio Benlloch,140,T,11,9,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3896004206542252, 39.48800438494039], ""type"": ""Point""}","39.48800438494039, -0.3896004206542252",Campanar
Gregorio Gea - Profesor Beltrán Báguena,142,T,20,5,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38965942617943544, 39.48192036501599], ""type"": ""Point""}","39.48192036501599, -0.38965942617943544",Campanar
Plaza Badajoz,145,T,7,8,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.398395456094638, 39.48154736759815], ""type"": ""Point""}","39.48154736759815, -0.398395456094638",Campanar
Manuel Candela - Rodriguez de Cepeda,150,T,11,12,25,F,16/06/2023 16:09:04,"{""coordinates"": [-0.35060930364544307, 39.46772129856667], ""type"": ""Point""}","39.46772129856667, -0.35060930364544307",Camins al Grau
Doctor Lluch - Virgen del Sufragio,158,T,4,11,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3277192268301427, 39.46669828513057], ""type"": ""Point""}","39.46669828513057, -0.3277192268301427",Poblats Maritims
Pavía (Instituto Isabel de Villena),169,T,10,10,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.32464520634897104, 39.47878532308192], ""type"": ""Point""}","39.47878532308192, -0.32464520634897104",Poblats Maritims
Gran Canaria - Ingeniero Manuel Maese,171,T,12,3,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.32900821806202085, 39.483060339803416], ""type"": ""Point""}","39.483060339803416, -0.32900821806202085",Poblats Maritims
Ausias March - Pianista Amparo Iturbi,182,T,12,9,21,F,16/06/2023 16:09:04,"{""coordinates"": [-0.37496539716978367, 39.455432269344854], ""type"": ""Point""}","39.455432269344854, -0.37496539716978367",Quatre Carreres
Benifairó de Valldigna - Joaquín Benlloch,186,T,4,10,14,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3740153970137416, 39.45039125246078], ""type"": ""Point""}","39.45039125246078, -0.3740153970137416",Quatre Carreres
"Zapadores, 23",181,T,2,13,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3681913713233589, 39.45799927509706], ""type"": ""Point""}","39.45799927509706, -0.3681913713233589",Quatre Carreres
Cataluña - Doctor Vicente Zaragozá,115,T,12,4,16,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3521482985209469, 39.481562345598135], ""type"": ""Point""}","39.481562345598135, -0.3521482985209469",Benimaclet
Jaime Roig - Bachiller,119,T,2,17,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.36322633473676447, 39.48252035422283], ""type"": ""Point""}","39.48252035422283, -0.36322633473676447",El Pla del Real
Murta - Sant Eperit,121,T,13,2,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.35877131748144303, 39.48618236435413], ""type"": ""Point""}","39.48618236435413, -0.35877131748144303",Benimaclet
Almazora - Benimuslem,129,T,12,7,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3699453557741905, 39.485975369089516], ""type"": ""Point""}","39.485975369089516, -0.3699453557741905",La Saidia
UPV Trinquet,110,T,27,3,30,F,16/06/2023 16:09:04,"{""coordinates"": [-0.33668024623462534, 39.48074033571707], ""type"": ""Point""}","39.48074033571707, -0.33668024623462534",Algiros
Manuel Broseta i Pont - Naranjos,112,T,25,15,40,T,16/06/2023 16:09:04,"{""coordinates"": [-0.34227526701990957, 39.47858033137406], ""type"": ""Point""}","39.47858033137406, -0.34227526701990957",Algiros
Doctor Vicente Zaragozá - Emilio Baró,120,T,14,3,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.36204632906281087, 39.484880361257815], ""type"": ""Point""}","39.484880361257815, -0.36204632906281087",Benimaclet
Pérez Galdós - Marqués de Zenete,157,T,9,11,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.38736643250783204, 39.46405230416093], ""type"": ""Point""}","39.46405230416093, -0.38736643250783204",Extramurs
Pavía - Columbretes,164,T,16,1,17,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3246342149862025, 39.46846028903177], ""type"": ""Point""}","39.46846028903177, -0.3246342149862025",Poblats Maritims
Fontanars dels Aforins - Jacinto Labaila,197,T,6,9,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39233345436447337, 39.458184286737165], ""type"": ""Point""}","39.458184286737165, -0.39233345436447337",Patraix
Pavía - Espadán,165,T,19,1,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3245702116150898, 39.471409299035706], ""type"": ""Point""}","39.471409299035706, -0.3245702116150898",Poblats Maritims
Traginers - Pedrapiquers,260,T,9,11,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4072175039832668, 39.45955629873093], ""type"": ""Point""}","39.45955629873093, -0.4072175039832668",Patraix
Archiduque Carlos - José María Mortes Lerma,213,T,0,15,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39697246591763863, 39.463165305912604], ""type"": ""Point""}","39.463165305912604, -0.39697246591763863",Patraix
José Meliá Castelló - Campos Crespo,253,T,3,12,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4011014879360589, 39.45272627278094], ""type"": ""Point""}","39.45272627278094, -0.4011014879360589",Patraix
Pintor Rafael Solves - Jose Soto Mico,258,T,12,3,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3891374575312111, 39.43982822413676], ""type"": ""Point""}","39.43982822413676, -0.3891374575312111",Jesus
Plaza Xuquer - Vinalopó,261,T,16,2,19,F,16/06/2023 16:09:04,"{""coordinates"": [-0.35037729588168837, 39.47667632834523], ""type"": ""Point""}","39.47667632834523, -0.35037729588168837",Algiros
"Santa Cruz de Tenerife, 21",214,T,4,11,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.4005764763988502, 39.464932313028335], ""type"": ""Point""}","39.464932313028335, -0.4005764763988502",l'Olivereta
Corts Valencianes - La Safor,226,T,0,30,30,F,16/06/2023 16:09:04,"{""coordinates"": [-0.3988594505654264, 39.49086439918327], ""type"": ""Point""}","39.49086439918327, -0.3988594505654264",Benicalap
Padre Barranco - Carlos Ruano Llopis (Pintor),225,T,1,19,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40114246019172434, 39.488107390420495], ""type"": ""Point""}","39.488107390420495, -0.40114246019172434",Campanar
Tres Cruces - Segunda República Española,249,T,2,13,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4027404883331656, 39.459506295875165], ""type"": ""Point""}","39.459506295875165, -0.4027404883331656",Patraix
Doctor Nicasio Benlloch - L'Horta Sud,228,T,1,14,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.398671446907537, 39.4936924079167], ""type"": ""Point""}","39.4936924079167, -0.398671446907537",Benicalap
San Vicente Paul - Santiago Rusiñol,232,T,14,1,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.36575333473149996, 39.49464439592328], ""type"": ""Point""}","39.49464439592328, -0.36575333473149996",Rascanya
Dels Gremis - Campos Crespo,252,T,15,5,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40357449843597065, 39.45028826570709], ""type"": ""Point""}","39.45028826570709, -0.40357449843597065",Patraix
Tres Forques - Turís,256,T,5,10,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39223544845537966, 39.46396330656933], ""type"": ""Point""}","39.46396330656933, -0.39223544845537966",Patraix
Perez Galdós - Nou Moles,201,T,8,12,20,F,16/06/2023 16:09:04,"{""coordinates"": [-0.39366844724894096, 39.47171233289752], ""type"": ""Point""}","39.47171233289752, -0.39366844724894096",l'Olivereta
Reina Violante - Escultor García Mas,203,T,9,6,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.40118246297404103, 39.48460937883364], ""type"": ""Point""}","39.48460937883364, -0.40118246297404103",Campanar
Gaspar Aguilar - Músico Penella,209,T,2,16,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39301546105732643, 39.45208226727133], ""type"": ""Point""}","39.45208226727133, -0.39301546105732643",Jesus
Pechina - Teruel,202,T,5,15,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39333444304417053, 39.47622234753723], ""type"": ""Point""}","39.47622234753723, -0.39333444304417053",Extramurs
Periodista Gil Sumbiela - Poeta Serrano Clavero,206,T,3,12,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.38900741524280136, 39.49271239990425], ""type"": ""Point""}","39.49271239990425, -0.38900741524280136",Benicalap
Campos Crespo - Juan de Garay,210,T,1,14,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39671647037206986, 39.45555328036534], ""type"": ""Point""}","39.45555328036534, -0.39671647037206986",Patraix
Músico Ayllón - Francisco Dolz,215,T,3,12,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39674846254882856, 39.46567131414367], ""type"": ""Point""}","39.46567131414367, -0.39674846254882856",l'Olivereta
Pintor Stolz - Nueve de Octubre,217,T,1,24,25,T,16/06/2023 16:09:04,"{""coordinates"": [-0.40459648652865626, 39.47032833321364], ""type"": ""Point""}","39.47032833321364, -0.40459648652865626",l'Olivereta
Manuel de Falla - Hernández Lázaro,221,T,7,12,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.4028534760386356, 39.475270348637764], ""type"": ""Point""}","39.475270348637764, -0.4028534760386356",Campanar
Levante U.D. - Ecuador,237,T,4,11,15,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39103842063587124, 39.494758407776374], ""type"": ""Point""}","39.494758407776374, -0.39103842063587124",Benicalap
Florista - T4 (Palau de Congressos),239,T,2,18,20,T,16/06/2023 16:09:04,"{""coordinates"": [-0.39996444953107335, 39.4969854198013], ""type"": ""Point""}","39.4969854198013, -0.39996444953107335",Poblats de l'Oest
La Vall d'Albaida - Corts Valencianes,241,T,0,15,15,F,16/06/2023 16:09:04,"{""coordinates"": [-0.4018904586642118, 39.49297840711153], ""type"": ""Point""}","39.49297840711153, -0.4018904586642118",Campanar
Albacete - Maluquer,243,T,12,6,18,T,16/06/2023 16:09:04,"{""coordinates"": [-0.3845424236611566, 39.46282029901061], ""type"": ""Point""}","39.46282029901061, -0.3845424236611566",Extramurs
