Tipus / Tipo;Centre / Centro;Adreça / Direccion;Districte / Distrito;Barri / Barrio;Piles / Pilas;objectid;linkid;Zona;Observació / Observación;Codi / Código;geo_shape;geo_point_2d
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""MARE DE DEU DEL DESEMPARATS""";C/. MÃ¿SIC AYLLÃ¿N, S/N;7;073;1;393;;;;MA04;"{""coordinates"": [-0.3968979392254807, 39.465843663515614], ""type"": ""Point""}";39.465843663515614, -0.3968979392254807
00-DEPENDENCIAS MUNICIPALES;AJUNTAMENT DE VALÃ¿NCIA-TABACALERA(Entrada Registro);C/. AMADEU DE SAVOIA, 11;6;061;1;398;;;;DM06;"{""coordinates"": [-0.36213070107963596, 39.47404257072742], ""type"": ""Point""}";39.47404257072742, -0.36213070107963596
04-CENTRO EDUCATIVO;IES BARRIO DEL CARMEN;C/. BENEFICÃ¿NCIA, 20;1;013;1;401;;;;ED04;"{""coordinates"": [-0.3818176888953007, 39.479630497789266], ""type"": ""Point""}";39.479630497789266, -0.3818176888953007
05-CENTROS JUVENILES;CM JUVENTUD CAMPANAR;C/. VALL DE LA BALLESTERA, 66;4;044;1;403;;;;JU01;"{""coordinates"": [-0.4061498803864604, 39.47891670388609], ""type"": ""Point""}";39.47891670388609, -0.4061498803864604
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""LA LLUM""";C/. SANTIAGO DE LÃ¿S, 1;7;075;1;404;;;;MA06;"{""coordinates"": [-0.4127212813409663, 39.46778741493406], ""type"": ""Point""}";39.46778741493406, -0.4127212813409663
04-CENTRO EDUCATIVO;CEIP BENIMAMET;C/. RAFAEL TENES ESCRICH, 56;18;181;1;409;;;;ED39;"{""coordinates"": [-0.4131313245174659, 39.50049260813759], ""type"": ""Point""}";39.50049260813759, -0.4131313245174659
04-CENTRO EDUCATIVO;COLEGIO PUBLICO SANTA TERESA;C/. HORT D'EN CENDRA, L', 3;1;013;1;410;;;;ED03;"{""coordinates"": [-0.3814859965831113, 39.479126936776616], ""type"": ""Point""}";39.479126936776616, -0.3814859965831113
04-CENTRO EDUCATIVO;COLEGIO LA PURISIMA-GRAO;C/. JOSEP AGUIRRE, 33;11;111;1;411;;;;ED43;"{""coordinates"": [-0.3340292437170603, 39.46183478074841], ""type"": ""Point""}";39.46183478074841, -0.3340292437170603
02-CM_PERSONAS MAYORES;"CM CENTRO DIA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES ""LA PURISIMA""";C/. ASSAGADOR D'ALBORAIA, 20;15;153;1;412;;;;MA31;"{""coordinates"": [-0.362819473160609, 39.489434578663975], ""type"": ""Point""}";39.489434578663975, -0.362819473160609
00-DEPENDENCIAS MUNICIPALES;EDIFICIO CASINO;C/. FERRER I BIGNÃ¿, 85;17;171;1;414;;;;DM15;"{""coordinates"": [-0.385459797179561, 39.53024417996588], ""type"": ""Point""}";39.53024417996588, -0.385459797179561
04-CENTRO EDUCATIVO;COLEGIO PUBLICO CERVANTES;C/. GUILLEM DE CASTRO, 153;3;031;1;415;;;;ED09;"{""coordinates"": [-0.3841141760963024, 39.47716484353804], ""type"": ""Point""}";39.47716484353804, -0.3841141760963024
01-MERCADO;MERCADO ALGIROS;PL. SANT FELIP NERI;12;122;1;417;;;;ME07;"{""coordinates"": [-0.35347936718283945, 39.470008546884294], ""type"": ""Point""}";39.470008546884294, -0.35347936718283945
09-UNIVERSIDAD POPULAR;UP MORVEDRE;PL. RONCESVALLS, 8;5;054;1;418;;;;UP06;"{""coordinates"": [-0.37866891433936917, 39.48751032990669], ""type"": ""Point""}";39.48751032990669, -0.37866891433936917
09-UNIVERSIDAD POPULAR;UP BENICALAP;C/. LOUIS BRAILLE, 1 (parc);16;162;1;423;;;;UP11;"{""coordinates"": [-0.39563299225252885, 39.496183213368624], ""type"": ""Point""}";39.496183213368624, -0.39563299225252885
07-ALCALDIA DE BARRIO;ALCALDIA DE FORN D'ALCEDO;C/. GUADALQUIVIR, 15;19;191;1;424;;;;AB01;"{""coordinates"": [-0.37613390739669833, 39.43259613113737], ""type"": ""Point""}";39.43259613113737, -0.37613390739669833
03-ASOCIACION VECINOS;"ASOCIACION DE VECINOS ""ARNICHES""";C.V. XIRIVELLA, 1;7;072;1;425;;;;AV01;"{""coordinates"": [-0.40841802232151014, 39.47269409722403], ""type"": ""Point""}";39.47269409722403, -0.40841802232151014
09-UNIVERSIDAD POPULAR;UP PARRETA;C/. VICENT PERIS, 3;5;054;1;429;;;;UP07;"{""coordinates"": [-0.3814435600108877, 39.48987368837492], ""type"": ""Point""}";39.48987368837492, -0.3814435600108877
05-CENTROS JUVENILES;CM JUVENTUD BENIMACLET;C/. ARQUITECTE ARNAU, 63;14;141;1;431;;;;JU05;"{""coordinates"": [-0.3563851494242388, 39.4864581599911], ""type"": ""Point""}";39.4864581599911, -0.3563851494242388
04-CENTRO EDUCATIVO;COLEGIO PUBLICO MUNICIPAL BENIMACLET;C/. ARQUITECTE ARNAU, S/N;14;142;1;435;;;;ED33;"{""coordinates"": [-0.3559671813311137, 39.48687042159499], ""type"": ""Point""}";39.48687042159499, -0.3559671813311137
07-ALCALDIA DE BARRIO;ALCALDIA EL PERELLONET;AV. GAVINES, S/N;19;196;1;438;;;;AB05;"{""coordinates"": [-0.288838341436949, 39.29791367934801], ""type"": ""Point""}";39.29791367934801, -0.288838341436949
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""RUZAFA""";C/. CUBA, 63;2;021;1;439;;;;MA01;"{""coordinates"": [-0.3750283944096615, 39.45927560875788], ""type"": ""Point""}";39.45927560875788, -0.3750283944096615
04-CENTRO EDUCATIVO;CEIP JOSE SOTO MICO;C/. BEETHOVEN, S/N;9;092;1;440;;;;ED17;"{""coordinates"": [-0.3900151196451928, 39.450218209783365], ""type"": ""Point""}";39.450218209783365, -0.3900151196451928
09-UNIVERSIDAD POPULAR;UP SAN ISIDRO;C/. JOSI ANDREU ALABARTA, 25;8;082;1;447;;;;UP04;"{""coordinates"": [-0.40420449524049834, 39.45333684899232], ""type"": ""Point""}";39.45333684899232, -0.40420449524049834
04-CENTRO EDUCATIVO;AVAPACE;PL. JOSÃ¿ MARÃA ORENSE;13;132;1;450;;;;ED28;"{""coordinates"": [-0.3402540238630378, 39.47335316409278], ""type"": ""Point""}";39.47335316409278, -0.3402540238630378
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""CABANYAL-CANYAMELAR""";C/. DOCTOR LLUCH, Fte 75;11;112;1;454;;;;MA37;"{""coordinates"": [-0.3282848832395655, 39.46677095323611], ""type"": ""Point""}";39.46677095323611, -0.3282848832395655
01-MERCADO;MERCADO CONVENTO JERUSALEN;C/. MATEMÃ¿TIC MARZAL;3;032;1;455;;;;ME04;"{""coordinates"": [-0.3805401855029309, 39.46663738728998], ""type"": ""Point""}";39.46663738728998, -0.3805401855029309
04-CENTRO EDUCATIVO;IES CAMPANAR;PL. BADAJOZ, S/N;4;041;1;459;;;;ED48;"{""coordinates"": [-0.3983639333794583, 39.48096212674752], ""type"": ""Point""}";39.48096212674752, -0.3983639333794583
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""BENIMACLET""";C/. EMILI BARÃ¿, 87;15;153;1;460;;;;MA30;"{""coordinates"": [-0.3585832345887398, 39.49265106969566], ""type"": ""Point""}";39.49265106969566, -0.3585832345887398
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""TRAFALGAR""";C/. TRAFALGAR, 34;12;123;1;463;;;;MA24;"{""coordinates"": [-0.3451252510320386, 39.46142790998163], ""type"": ""Point""}";39.46142790998163, -0.3451252510320386
04-CENTRO EDUCATIVO;CEFIRE-CENTRE DE FORMACIO INNOVACIO I RECURSOS PER AL PROFESSORAT;C/. PINTOR GASENT, 8 (DirecciÃ³n oficial Paco Pierra, 20);10;105;1;315;;;;ED56;"{""coordinates"": [-0.36664257078147416, 39.449734826410236], ""type"": ""Point""}";39.449734826410236, -0.36664257078147416
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""SAN ISIDRO""";C/. JOSÃ¿ ANDREU ALABARTA, S/N;8;082;1;317;;;;MA09;"{""coordinates"": [-0.4050607958320004, 39.453139532673354], ""type"": ""Point""}";39.453139532673354, -0.4050607958320004
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""BENIMAMET""";PL. LUIS CANO, 2ac;18;181;1;320;;;;MA33;"{""coordinates"": [-0.4180495394189374, 39.501604036523844], ""type"": ""Point""}";39.501604036523844, -0.4180495394189374
01-MERCADO;MERCADO CENTRAL;PL. MERCAT, 6;1;015;1;321;;;;ME01;"{""coordinates"": [-0.37845796653037966, 39.47375762979897], ""type"": ""Point""}";39.47375762979897, -0.37845796653037966
08-VARIOS;ORGANISMO AUTONOMO MUNICIPAL PARQUES Y JARDINES;C/. ANTONI SUÃREZ, 7;6;062;1;323;;;;VA02;"{""coordinates"": [-0.3579192322149416, 39.468642477269476], ""type"": ""Point""}";39.468642477269476, -0.3579192322149416
07-ALCALDIA DE BARRIO;ALCALDIA EL PALMAR;C/. CAUDETE, 15;19;195;1;325;;;;AB04;"{""coordinates"": [-0.3176533724198616, 39.30938519493066], ""type"": ""Point""}";39.30938519493066, -0.3176533724198616
04-CENTRO EDUCATIVO;EI 1er CICLE MUNICIPAL PARDALETS;C/. POETA ARTOLA, S/N;13;134;1;326;;;;ED30;"{""coordinates"": [-0.34942450526722735, 39.47531771050847], ""type"": ""Point""}";39.47531771050847, -0.34942450526722735
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""HORNO ALCEDO""";C/. RIU CABRIOL, 2 Bjo.;19;191;1;329;;;;MA14;"{""coordinates"": [-0.37492592531276875, 39.432683873268374], ""type"": ""Point""}";39.432683873268374, -0.37492592531276875
02-CM_PERSONAS MAYORES;UD PENSIONISTAS BENIMACLET;C/. UTIEL, 22;14;141;1;330;;;;MA28;"{""coordinates"": [-0.35855665954853966, 39.4856797386466], ""type"": ""Point""}";39.4856797386466, -0.35855665954853966
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""CAMPANAR""";C/. DRAGAMINES, 11;4;041;1;334;;;;MA18;"{""coordinates"": [-0.3969731310686819, 39.48116541674974], ""type"": ""Point""}";39.48116541674974, -0.3969731310686819
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""BENICALAPECH""";C/. LOUIS BRAILLE, S/N;16;162;1;335;;;;MA32;"{""coordinates"": [-0.3955846239188685, 39.4962114618414], ""type"": ""Point""}";39.4962114618414, -0.3955846239188685
07-ALCALDIA DE BARRIO;ALCALDIA DE LA PUNTA;C/. ALBERTO GARCÃA ESTEVE (ADVOCAT), SN;10;106;1;337;;;;AB11;"{""coordinates"": [-0.3353597529864027, 39.44308518958355], ""type"": ""Point""}";39.44308518958355, -0.3353597529864027
07-ALCALDIA DE BARRIO;PEDANIA POBLE NOU;CAMI. MONCADA, 205;17;172;1;341;;;;AB07;"{""coordinates"": [-0.3840349331139049, 39.5042458569491], ""type"": ""Point""}";39.5042458569491, -0.3840349331139049
05-CENTROS JUVENILES;CM JUVENTUD ORRIOLS;C/. SANTIAGO RUSIÃ¿OL, 3ac;15;152;1;344;;;;JU07;"{""coordinates"": [-0.37042776981653036, 39.49742383741234], ""type"": ""Point""}";39.49742383741234, -0.37042776981653036
04-CENTRO EDUCATIVO;COLEGIO SAN VICENTE FERRER-DOMINICOS VALENCIA;C/ ISABEL LA CATÃ¿LICA, 25;2;022;1;350;;;;ED57;"{""coordinates"": [-0.36949979788078213, 39.46755901138264], ""type"": ""Point""}";39.46755901138264, -0.36949979788078213
04-CENTRO EDUCATIVO;COLEGIO SALESIANOS SAN ANTONIO ABAD;AV. PRIMAT REIG, 2;5;055;1;351;;;;ED54;"{""coordinates"": [-0.37376505497805906, 39.491652450174044], ""type"": ""Point""}";39.491652450174044, -0.37376505497805906
04-CENTRO EDUCATIVO;CEIP PROFESSOR RAMIRO JOVER;C/. PIUS IX, S/N;9;095;1;352;;;;ED18;"{""coordinates"": [-0.3940106284127958, 39.44316860152606], ""type"": ""Point""}";39.44316860152606, -0.3940106284127958
05-CENTROS JUVENILES;CM JUVENTUD ALGIROS;C/. CAMPOAMOR, 91;13;131;1;353;;;;JU04;"{""coordinates"": [-0.3403568069028557, 39.469250429423724], ""type"": ""Point""}";39.469250429423724, -0.3403568069028557
08-VARIOS;NATURIA  - CENTRO DE MEDIO AMBIENTE URBANO DEL AYTO.VALENCIA;Jardins del TÃºria - entre PG. PETXINA i AV. MANUEL DE FALLA;4;041;1;356;;;;VA01;"{""coordinates"": [-0.3977421311376304, 39.47524531626363], ""type"": ""Point""}";39.47524531626363, -0.3977421311376304
04-CENTRO EDUCATIVO;COLEGIO SANTIAGO APOSTOL DEL CABANYAL;C/. ESCALANTE, 329;11;112;1;359;;;;ED45;"{""coordinates"": [-0.32974407159851216, 39.47403093531829], ""type"": ""Point""}";39.47403093531829, -0.32974407159851216
07-ALCALDIA DE BARRIO;ALCALDIA EL SALER;AV. PINARS, 1;19;194;1;361;;;;AB03;"{""coordinates"": [-0.33186960711625013, 39.38229961571037], ""type"": ""Point""}";39.38229961571037, -0.33186960711625013
04-CENTRO EDUCATIVO;EI 1er CICLE MUNICIPAL GENERAL URRUTIA;C/. RICARDO MUÃ¿OZ SUAY (CINEASTA), S/N;10;107;1;362;;;;ED42;"{""coordinates"": [-0.35883945960066876, 39.45254521109653], ""type"": ""Point""}";39.45254521109653, -0.35883945960066876
04-CENTRO EDUCATIVO;IES EL CLOT;C/. ECONOMISTA GAY, 34;5;054;1;365;;;;ED21;"{""coordinates"": [-0.37956793898331426, 39.489322733210734], ""type"": ""Point""}";39.489322733210734, -0.37956793898331426
04-CENTRO EDUCATIVO;CEIP MAX AUB;C/. PARE URBANO, S/N;5;055;1;366;;;;ED22;"{""coordinates"": [-0.3701915796344262, 39.48786416002875], ""type"": ""Point""}";39.48786416002875, -0.3701915796344262
00-DEPENDENCIAS MUNICIPALES;CONSERVATORIO MUNICIPAL DE MUSICA JOSE ITURBI;AV. BALEARS, 36;12;125;1;368;;;;DM08;"{""coordinates"": [-0.3520073459198504, 39.46112152046048], ""type"": ""Point""}";39.46112152046048, -0.3520073459198504
02-CM_PERSONAS MAYORES;CM OCUPACIONAL JUAN DE GARAY;C/. JUAN DE GARAY, 52;8;085;1;369;;;;MA10;"{""coordinates"": [-0.3955250754485093, 39.45501363475818], ""type"": ""Point""}";39.45501363475818, -0.3955250754485093
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""BENIFERRI""";C/. FAVANELLA, S/N;18;182;1;371;;;;MA34;"{""coordinates"": [-0.40716025322193217, 39.492960400120886], ""type"": ""Point""}";39.492960400120886, -0.40716025322193217
04-CENTRO EDUCATIVO;CEIP ARQUITECTO SANTIAGO CALATRAVA;C.N. PATERNA, 167;18;181;1;374;;;;ED38;"{""coordinates"": [-0.4186961477773971, 39.494367671787764], ""type"": ""Point""}";39.494367671787764, -0.4186961477773971
04-CENTRO EDUCATIVO;IES BENLLIURE;C/. CONVENT DELS CARMELITES, 13;5;053;1;381;;;;ED20;"{""coordinates"": [-0.369807525966548, 39.483140385560844], ""type"": ""Point""}";39.483140385560844, -0.369807525966548
07-ALCALDIA DE BARRIO;ALCALDIA DE PINEDO;CTRA. RIU, 263;19;193;1;388;;;;AB02;"{""coordinates"": [-0.34080648073880926, 39.424360439881625], ""type"": ""Point""}";39.424360439881625, -0.34080648073880926
04-CENTRO EDUCATIVO;CEIP NTRA. SRA. DEL CARMEN;C/. AMADAS DE GAULA, S/N;11;114;1;389;;;;ED46;"{""coordinates"": [-0.335676235839088, 39.47416082772699], ""type"": ""Point""}";39.47416082772699, -0.335676235839088
00-DEPENDENCIAS MUNICIPALES;AJUNTAMENT DE VALÃ¿NCIA;PL. AJUNTAMENT, 1;1;016;1;392;;;;DM03;"{""coordinates"": [-0.3769798736094758, 39.46981190007435], ""type"": ""Point""}";39.46981190007435, -0.3769798736094758
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""GIORGETA-CARMEN GRACIA""";AV. GIORGETA, 18;9;091;1;396;;;;MA11;"{""coordinates"": [-0.3858615594705692, 39.46037829854154], ""type"": ""Point""}";39.46037829854154, -0.3858615594705692
04-CENTRO EDUCATIVO;CENTRO DE EDUCACION INFANTIL L'ESCOLETA DEL CARME;C/. PALMA, 5;1;013;1;397;;;;ED02;"{""coordinates"": [-0.3790397719983229, 39.478754390854284], ""type"": ""Point""}";39.478754390854284, -0.3790397719983229
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""MALILLA""";C/. JUAN RAMON JIMÃ¿NEZ, 18;10;103;1;400;;;;MA35;"{""coordinates"": [-0.3764464359533808, 39.45497388466856], ""type"": ""Point""}";39.45497388466856, -0.3764464359533808
05-CENTROS JUVENILES;POLIDEPORTIVO ASTURIAS;C/. ASTÃ¿RIES, Jt 22;12;125;1;402;;;;JU03;"{""coordinates"": [-0.35588278765334913, 39.465032542190976], ""type"": ""Point""}";39.465032542190976, -0.35588278765334913
05-CENTROS JUVENILES;POLIDEPORTIVO MARXALENES;C/. ECONOMISTA GAY, Fte 48;5;054;1;406;;;;JU02;"{""coordinates"": [-0.3811348251687125, 39.48871905683107], ""type"": ""Point""}";39.48871905683107, -0.3811348251687125
04-CENTRO EDUCATIVO;CENTRO FORMACIAN DE PERSONAS ADULTAS FUENTE DE SAN LUIS;C/. PINTOR GASENT, 8 (DirecciÃ³n oficial Paco Pierra, 20);10;105;1;419;;;;ED55;"{""coordinates"": [-0.3665674814386535, 39.44987726601576], ""type"": ""Point""}";39.44987726601576, -0.3665674814386535
03-ASOCIACION VECINOS;"ASOCIACION DE VECINOS ""TORREFIEL""";C/. JACOMART, 22;15;152;1;420;;;;AV03;"{""coordinates"": [-0.3766963112231758, 39.496753594243856], ""type"": ""Point""}";39.496753594243856, -0.3766963112231758
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""VIVEROS""";PL. Ã¿VILA, 17;5;053;1;427;;;;MA22;"{""coordinates"": [-0.3698327174232672, 39.4813469215975], ""type"": ""Point""}";39.4813469215975, -0.3698327174232672
02-CM_PERSONAS MAYORES;"CM ACTIVIDADES PERSONAS MAYORES ""LA FONTSANTA""";C/. MARE DE DÃ¿U DE LA FONTSANTA, S/N;7;074;1;432;;;;MA05;"{""coordinates"": [-0.4072171036534992, 39.46650166814691], ""type"": ""Point""}";39.46650166814691, -0.4072171036534992
09-UNIVERSIDAD POPULAR;UP BENIMACLET;C/. FRANCESC MARTÃNEZ, 32;14;141;1;433;;;;UP09;"{""coordinates"": [-0.3583361237491645, 39.48816968091094], ""type"": ""Point""}";39.48816968091094, -0.3583361237491645
08-VARIOS;VALÃ¿NCIA ACTIVA-CENTRO FONTETA;AV. PLATA, 28;10;105;1;436;;;;VA07;"{""coordinates"": [-0.36631014962219716, 39.45515087415103], ""type"": ""Point""}";39.45515087415103, -0.36631014962219716
00-DEPENDENCIAS MUNICIPALES;AJUNTAMENT DE VALÃ¿NCIA-TABACALERA(Entrada Principal);C/. AMADEU DE SAVOIA, 11;6;061;1;442;;;;DM05;"{""coordinates"": [-0.36098615825903846, 39.473833345889496], ""type"": ""Point""}";39.473833345889496, -0.36098615825903846
04-CENTRO EDUCATIVO;CIFP CIUDAD DEL APRENDIZ;C/. CIUTAT DE L'APRENENT, 4;9;095;1;444;;;;ED50;"{""coordinates"": [-0.390554741608402, 39.440139119334894], ""type"": ""Point""}";39.440139119334894, -0.390554741608402
04-CENTRO EDUCATIVO;CEIP MIGUEL ADLERT I NOGUEROL;C/. PEPE ALBA, 21;12;121;1;449;;;;ED26;"{""coordinates"": [-0.3467815964105589, 39.46778289687962], ""type"": ""Point""}";39.46778289687962, -0.3467815964105589
04-CENTRO EDUCATIVO;CEIP TOMAS DE MONTA;AV. BALEARS, 40;12;125;1;458;;;;ED27;"{""coordinates"": [-0.3511744037697546, 39.46167065014307], ""type"": ""Point""}";39.46167065014307, -0.3511744037697546
00-DEPENDENCIAS MUNICIPALES;EDIFICIO MUNICIPAL;C/. CONVENT DE SANT FRANCESC, 2;1;016;1;461;;;;DM04;"{""coordinates"": [-0.3777809245303588, 39.46937361913277], ""type"": ""Point""}";39.46937361913277, -0.3777809245303588
04-CENTRO EDUCATIVO;COLEGIO SAN JUAN DE RIBERA;C/. CIRIL AMORÃ¿S, 3;2;022;1;465;;;;ED06;"{""coordinates"": [-0.3740390032088122, 39.466325889030465], ""type"": ""Point""}";39.466325889030465, -0.3740390032088122
